run_id,seed,dilemma_type,network_type,N,avg_degree,T,alpha,theta,beta,beneficiary_rule,init_frac_coop,converged,iters_to_conv,final_frac_coop
prisoners_HRG_T1.30_a0.30_s1,1,prisoners,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.168
prisoners_HRG_T1.30_a0.30_s2,2,prisoners,HRG,1000,4.0,1.3,0.3,1.0,1.0,random,0.5,False,10000,0.094
prisoners_HRG_T1.30_a0.30_s2,2,prisoners,HRG,1000,4.0,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.159
prisoners_HRG_T1.30_a0.30_s3,3,prisoners,HRG,1000,4.0,1.3,0.3,1.0,1.0,random,0.5,False,10000,0.117
prisoners_HRG_T1.30_a0.30_s3,3,prisoners,HRG,1000,4.0,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.137
prisoners_HRG_T1.30_a0.30_s4,4,prisoners,HRG,1000,3.998,1.3,0.3,1.0,1.0,random,0.5,False,10000,0.143
prisoners_HRG_T1.30_a0.30_s4,4,prisoners,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.13
prisoners_HRG_T1.30_a0.50_s0,0,prisoners,HRG,1000,3.998,1.3,0.5,1.0,1.0,random,0.5,False,10000,0.211
prisoners_HRG_T1.30_a0.50_s0,0,prisoners,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.145
prisoners_HRG_T1.30_a0.50_s1,1,prisoners,HRG,1000,3.998,1.3,0.5,1.0,1.0,random,0.5,False,10000,0.177
prisoners_HRG_T1.30_a0.50_s1,1,prisoners,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.211
prisoners_HRG_T1.30_a0.50_s2,2,prisoners,HRG,1000,4.0,1.3,0.5,1.0,1.0,random,0.5,False,10000,0.161
prisoners_HRG_T1.30_a0.50_s2,2,prisoners,HRG,1000,4.0,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.192
prisoners_HRG_T1.30_a0.50_s3,3,prisoners,HRG,1000,4.0,1.3,0.5,1.0,1.0,random,0.5,False,10000,0.182
prisoners_HRG_T1.30_a0.50_s3,3,prisoners,HRG,1000,4.0,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.213
prisoners_HRG_T1.30_a0.50_s4,4,prisoners,HRG,1000,3.998,1.3,0.5,1.0,1.0,random,0.5,False,10000,0.209
prisoners_HRG_T1.30_a0.50_s4,4,prisoners,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.185
prisoners_HRG_T1.30_a0.70_s0,0,prisoners,HRG,1000,3.998,1.3,0.7,1.0,1.0,random,0.5,False,10000,0.252
prisoners_HRG_T1.30_a0.70_s0,0,prisoners,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.336
prisoners_HRG_T1.30_a0.70_s1,1,prisoners,HRG,1000,3.998,1.3,0.7,1.0,1.0,random,0.5,False,10000,0.259
prisoners_HRG_T1.30_a0.70_s1,1,prisoners,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.333
prisoners_HRG_T1.30_a0.70_s2,2,prisoners,HRG,1000,4.0,1.3,0.7,1.0,1.0,random,0.5,False,10000,0.266
prisoners_HRG_T1.30_a0.70_s2,2,prisoners,HRG,1000,4.0,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.313
prisoners_HRG_T1.30_a0.70_s3,3,prisoners,HRG,1000,4.0,1.3,0.7,1.0,1.0,random,0.5,False,10000,0.237
